period,mr_id,project_id,reviewer_id,created_at,resolvable,resolved
Post-AI,300,170,12,2026-04-29T11:33:46.382Z,True,True
Post-AI,300,170,12,2026-04-29T11:11:09.763Z,True,True
Post-AI,300,170,12,2026-04-29T11:07:03.405Z,True,True
Post-AI,300,170,181,2026-04-28T16:15:20.145Z,True,True
Post-AI,300,170,181,2026-04-28T16:12:19.831Z,True,True
Post-AI,300,170,222,2026-04-27T19:20:16.685Z,True,True
Post-AI,297,170,7,2026-04-27T05:27:13.631Z,True,True
Post-AI,297,170,7,2026-04-27T05:24:13.174Z,True,True
Post-AI,297,170,7,2026-04-27T05:23:36.837Z,True,True
Post-AI,297,170,185,2026-04-27T05:14:38.869Z,True,True
Post-AI,297,170,185,2026-04-27T05:11:45.566Z,True,True
Post-AI,297,170,185,2026-04-27T05:09:11.064Z,True,True
Post-AI,296,170,11,2026-04-23T18:26:24.074Z,True,True
Post-AI,296,170,11,2026-04-23T18:17:27.834Z,True,True
Post-AI,296,170,11,2026-04-23T17:47:45.517Z,True,True
Post-AI,296,170,11,2026-04-23T17:47:35.630Z,True,True
Post-AI,296,170,11,2026-04-23T17:47:28.999Z,True,True
Post-AI,296,170,11,2026-04-23T17:31:37.453Z,True,True
Post-AI,296,170,11,2026-04-23T17:30:47.202Z,True,True
Post-AI,296,170,11,2026-04-23T17:28:28.494Z,True,True
Post-AI,296,170,222,2026-04-23T17:22:12.899Z,True,True
Post-AI,296,170,222,2026-04-23T17:22:12.674Z,True,True
Post-AI,296,170,222,2026-04-23T17:20:58.703Z,True,True
Post-AI,296,170,222,2026-04-23T17:17:08.937Z,True,True
Post-AI,296,170,222,2026-04-23T17:17:08.859Z,True,True
Post-AI,296,170,222,2026-04-23T17:17:08.310Z,True,True
Post-AI,296,170,181,2026-04-23T17:11:26.549Z,True,True
Post-AI,296,170,11,2026-04-23T17:08:29.421Z,True,True
Post-AI,296,170,181,2026-04-23T15:58:41.179Z,True,True
Post-AI,296,170,11,2026-04-23T15:54:04.604Z,True,True
Post-AI,296,170,181,2026-04-23T15:49:45.103Z,True,True
Post-AI,296,170,181,2026-04-23T15:49:44.548Z,True,True
Post-AI,296,170,11,2026-04-22T21:40:45.194Z,True,True
Post-AI,296,170,185,2026-04-22T21:18:21.342Z,True,True
Post-AI,294,170,7,2026-04-22T02:35:51.303Z,True,True
Post-AI,294,170,185,2026-04-22T01:07:46.619Z,True,True
Post-AI,293,170,185,2026-04-21T00:06:10.469Z,False,False
Post-AI,293,170,136,2026-04-20T23:58:02.826Z,False,False
Post-AI,289,170,4,2026-04-21T10:42:38.577Z,True,True
Post-AI,289,170,4,2026-04-21T10:42:24.834Z,True,True
Post-AI,289,170,4,2026-04-21T10:40:47.688Z,True,True
Post-AI,289,170,4,2026-04-21T10:39:09.543Z,True,True
Post-AI,289,170,4,2026-04-21T10:37:53.415Z,True,True
Post-AI,289,170,185,2026-04-20T23:47:33.924Z,True,True
Post-AI,289,170,185,2026-04-20T23:44:12.198Z,True,True
Post-AI,289,170,185,2026-04-20T23:42:06.413Z,True,True
Post-AI,289,170,185,2026-04-20T23:39:32.800Z,True,True
Post-AI,289,170,185,2026-04-20T23:36:23.638Z,True,True
Post-AI,286,170,7,2026-04-16T06:41:32.016Z,True,True
Post-AI,286,170,185,2026-04-16T06:27:28.069Z,True,True
Post-AI,280,170,12,2026-04-16T15:25:54.782Z,True,True
Post-AI,280,170,12,2026-04-16T15:25:38.607Z,True,True
Post-AI,280,170,12,2026-04-16T15:25:23.363Z,True,True
Post-AI,280,170,11,2026-04-16T13:39:41.247Z,False,False
Post-AI,280,170,222,2026-04-15T20:43:29.777Z,True,True
Post-AI,280,170,222,2026-04-15T20:43:29.685Z,True,True
Post-AI,280,170,222,2026-04-15T20:43:29.464Z,True,True
Post-AI,275,170,222,2026-04-13T14:53:33.590Z,True,True
Post-AI,275,170,185,2026-04-13T14:45:35.351Z,True,True
Post-AI,274,170,11,2026-04-13T17:00:35.991Z,True,True
Post-AI,274,170,222,2026-04-13T01:58:33.050Z,True,True
Post-AI,270,170,222,2026-04-09T18:27:45.762Z,True,True
Post-AI,270,170,7,2026-04-09T04:59:37.404Z,True,True
Post-AI,265,170,7,2026-04-08T03:18:16.349Z,True,True
Post-AI,265,170,7,2026-04-08T03:17:51.289Z,True,True
Post-AI,265,170,185,2026-04-07T22:05:42.980Z,True,True
Post-AI,265,170,185,2026-04-07T21:58:14.218Z,True,True
Post-AI,264,170,4,2026-04-07T03:00:16.466Z,True,True
Post-AI,264,170,4,2026-04-07T02:55:56.318Z,True,True
Post-AI,264,170,4,2026-04-07T02:52:00.320Z,True,True
Post-AI,264,170,4,2026-04-07T02:49:01.819Z,True,True
Post-AI,264,170,185,2026-04-06T23:05:07.435Z,True,True
Post-AI,264,170,185,2026-04-06T23:00:34.131Z,True,True
Post-AI,264,170,222,2026-04-06T16:16:44.647Z,True,True
Post-AI,263,170,185,2026-04-06T17:20:25.566Z,True,True
Post-AI,263,170,185,2026-04-06T17:12:17.907Z,True,True
Post-AI,263,170,185,2026-04-06T17:02:42.651Z,True,True
Post-AI,263,170,222,2026-04-06T16:53:18.224Z,True,True
Post-AI,263,170,222,2026-04-06T16:53:18.126Z,True,True
Post-AI,263,170,222,2026-04-06T16:53:17.988Z,True,True
Post-AI,263,170,222,2026-04-06T16:53:17.708Z,True,True
Post-AI,263,170,185,2026-04-06T16:51:46.598Z,True,True
Post-AI,263,170,185,2026-04-06T16:51:38.785Z,True,True
Post-AI,263,170,185,2026-04-06T16:44:17.637Z,True,True
